quote,author
"Bingo, gas station, hamburger with a side order of airplane noise, and you''ll be Gary, Indiana.-- Jessie in the movie Greaser''s Palace",unknown
Biography is the fallacy of intention.-- Peter Taylor,unknown
"Birth, n.:",unknown
"        The first and direst of all disasters.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Bizarreness is the essence of the exotic,unknown
Black holes are where God is dividing by zero.,unknown
Blah.,unknown
"Bleeding into a new computer is always a good thing; it''s an ancient geek voodoo magic to ensure its long life and reliability.-- from Mike Taht''s blog, http://the-edge.blogspot.com/",unknown
Blessed are the meek for they shall inhibit the earth.,unknown
He walks as if balancing the family tree on his nose.,unknown
Blessed is the man who is too busy to worry in the daytime and too sleepy to worry at night.-- Leo Aikman,unknown
"Blood is thicker than water, and much tastier.",unknown
"Board the windows, up your car insurance, and don''t leave any booze in plain sight. It''s St. Patrick''s day in Chicago again. The legend has it that St. Patrick drove the snakes out of Ireland. In fact, he was arrested for drunk driving. The snakes left because people kept throwing up on them.",unknown
Boling's postulate:,unknown
"        If you''re feeling good, don''t worry. You''ll get over it.",unknown
Bolub's Fourth Law of Computerdom:,unknown
        Project teams detest weekly progress reporting because it so vividly manifests their lack of progress.,unknown
Bombeck's Rule of Medicine:,unknown
        Never go to a doctor whose office plants have died.,unknown
"Bond reflected that good Americans were fine people and that most of them seemed to come from Texas.-- Ian Fleming, Casino Royale",unknown
Boob's Law:,unknown
        You always find something in the last place you look.,unknown
"Bore, n.:",unknown
"        A person who talks when you wish him to listen.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Boren's Laws:,unknown
"        (1) When in charge, ponder.",unknown
"        (2) When in trouble, delegate.",unknown
"        (3) When in doubt, mumble.",unknown
"Boss, n.:",unknown
"        According to the Oxford English Dictionary, in the Middle Ages the words boss and botch were largely synonymous, except that boss, in addition to meaning a supervisor of workers also meant an ornamental stud.",unknown
"Boston, n.:",unknown
"        Ludwig van Beethoven being jeered by 50,000 sports fans for finishing second in the Irish jig competition.",unknown
"Boy, n.:",unknown
        A noise with dirt on it.,unknown
Bradley's Bromide:,unknown
"        If computers get too powerful, we can organize them into a committee. That will do them in.",unknown
Brady's First Law of Problem Solving:,unknown
"        When confronted by a difficult problem, you can solve it more easily by reducing it to the question, How would the Lone Ranger have handled this?",unknown
Brain f-- core dumped,unknown
"Brain, n.:",unknown
"        The apparatus with which we think that we think.-- Ambrose Bierce, The Devil''s Dictionary",unknown
"Brain, v. [as in to brain]:",unknown
"    To rebuke bluntly, but not pointedly; to dispel a source of error in an opponent.-- Ambrose Bierce, The Devil''s Dictionary",unknown
"Bride, n.:",unknown
"        A woman with a fine prospect of happiness behind her.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Bride: A woman with a fine prospect of happiness behind her.,unknown
"Bringing computers into the home won''t change either one, but may revitalize the corner saloon.",unknown
Broad-mindedness: The result of flattening high-mindedness out.,unknown
Brook's Law:,unknown
        Adding manpower to a late software project makes it later.,unknown
Brooke's Law:,unknown
"        Whenever a system becomes completely defined, some damn fool discovers something which either abolishes the system or expands it beyond recognition.",unknown
"Bubble Memory, n.:",unknown
"        A derogatory term, usually referring to a person''s intelligence. See also vacuum tube.",unknown
Bucy's Law:,unknown
        Nothing is ever accomplished by a reasonable man.,unknown
Bug: Small living things that small living boys throw on small living girls.,unknown
Bumper Sticker: Insanity is hereditary; you get it from your children.,unknown
"Bumper sticker on nuclear war: if you have seen one, you have seen them all.",unknown
Bunk Carter's Law:,unknown
        At any given moment there are more important people in the world than important jobs to contain them.,unknown
Bureaucracy is a giant mechanism operated by pygmies.-- Balzac,unknown
"Bureaucrat, n.:",unknown
        A politician who has tenure.,unknown
Bureaucrats cut read -- length-wise.,unknown
Burnt Sienna: That's the best thing that ever happened to Crayolas.-- Ken Weaver,unknown
Business will be either better or worse.-- Calvin Coolidge,unknown
"But in our enthusiasm, we could not resist a radical overhaul of the system, in which all of its major weaknesses have been exposed, analyzed, and replaced with new weaknesses.-- Bruce Leverett, Register Allocation in Optimizing Compilers",unknown
"By doing just a little every day, I can gradually let the task completely overwhelm me.-- Ashleigh Brilliant",unknown
"By doing just a little every day, you can gradually let the task completely overwhelm you.",unknown
"By long-standing tradition, I take this opportunity to savage other designers in the thin disguise of good, clean fun.-- P. J. Plauger, from his April Fool''s column in the April 1988 issue of Computer Language",unknown
"By one count there are some 700 scientists with respectable academic credentials (out of a total of 480,000 U.S. earth and life scientists) who give credence to creation-science, the general theory that complex life forms did not evolve but appeared abruptly.-- Newsweek, June 29, 1987, pg. 23",unknown
"C, n.:",unknown
Criminal: A person with predatory instincts who has not sufficient capital to form a corporation.-- Howard Scott,unknown
"        A programming language that is sort of like Pascal except more like assembly except that it isn''t very much like either one, or anything else. It is either the best language available to the art today, or it isn''t.-- Ray Simard",unknown
C++ : Where friends have access to your private members.-- Gavin Russell Baker,unknown
CChheecckk yyoouurr dduupplleexx sswwiittcchh..-- Randall Garrett,unknown
"Cabbage, n.:",unknown
How come only your friends step on your new white sneakers?,unknown
"        A familiar kitchen-garden vegetable about as large and wise as a man''s head.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Cabbage: A familiar kitchen-garden vegetable about as large and wise as a man's head.,unknown
Caeca invidia est. (Envy is blind.)-- Livy,unknown
Cahn's Axiom:,unknown
"        When all else fails, read the instructions.",unknown
California is a fine place to -- if you happen to be an orange.-- Fred Allen,unknown
California is the ghost of Christmas future for the rest of America.-- anonymous post to an Internet forum,unknown
"California is the land of perpetual pubescence, where cultural lag is mistaken for renaissance.-- Ashley Montagu",unknown
"Call on God, but row away from the rocks.-- Indian proverb",unknown
"Can anyone remember when the times were not hard, and money not scarce?",unknown
