quote,author
"If you cannot do great things, do small things in a great way.",Napoleon Hill
Everything is perfect in the universe � even your desire to improve it.,Wayne Dyer
"If you want your life to be more rewarding, you have to change the way you think.",Oprah Winfrey
"Transformation doesn''t take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us.",Byron Pulsifer
The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.,Leonardo Ruiz
The free man is he who does not fear to go to the end of his thought.,Leon Blum
"Great are they who see that spiritual is stronger than any material force, that thoughts rule the world.",Ralph Emerson
A life spent making mistakes is not only more honourable but more useful than a life spent in doing nothing.,Bernard Shaw
"The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own.",Lao Tzu
"Don''t leave a stone unturned. It''s always something, to know you have done the most you could.",Charles Dickens
"By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm.",Dalai Lama
"We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly.",Sam Keen
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Walt Emerson
There are things so deep and complex that only intuition can reach it in our stage of development as human beings.,John Astin
"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.",Elbert Hubbard
There are things so deep and complex that only intuition can reach it in our stage of development as human beings.,John Astin
"There is no retirement for an artist, it''s your way of living so there is no end to it.",Henry Moore
I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.,Confucius
"When you are content to be simply yourself and don''t compare or compete, everybody will respect you.",Laozi
"Be not afraid of greatness: some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare
"Success means having the courage, the determination, and the will to become the person you believe you were meant to be.",George Sheehan
Do you want to know who you are? Don't ask. Act! Action will delineate and define you.,Thomas Jefferson
"It is only with the heart that one can see rightly, what is essential is invisible to the eye.",Antoine de Saint-Exupery
Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.,Marcel Proust
"Make the best use of what is in your power, and take the rest as it happens.",Epictetus
The thoughts we choose to think are the tools we use to paint the canvas of our lives.,Louise Hay
No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.,W. Clement Stone
The reason most goals are not achieved is that we spend our time doing second things first.,Robert McKain
"If your actions inspire others to dream more, learn more, do more and become more, you are a leader.",John Quincy Adams
"I''m a great believer in luck and I find the harder I work, the more I have of it.",Thomas Jefferson
"Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good.",Ralph Emerson
The person born with a talent they are meant to use will find their greatest happiness in using it.,Johann Wolfgang von Goethe
"Good people are good because they''ve come to wisdom through failure. We get very little wisdom from success, you know.",William Saroyan
Your destiny isn't just fate; it is how you use your own developed abilities to get what you want.,Byron Pulsifer
Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.,Leonardo da Vinci
A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.,Isaac Asimov
"Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars.",Henry Van Dyke
The person born with a talent they are meant to use will find their greatest happiness in using it.,Johann Wolfgang von Goethe
"You got to be careful if you don''t know where you''re going, because you might not get there.",Yogi Berra
You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.,Naguib Mahfouz
"Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more",Anthony Robbins
You can't let praise or criticism get to you. It's a weakness to get caught up in either one.,John Wooden
"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars.",Og Mandino
"Our doubts are traitors and make us lose the good we often might win, by fearing to attempt.",Jane Addams
By nature man hates change; seldom will he quit his old home till it has actually fallen around his ears.,Thomas Carlyle
"Until you value yourself, you won''t value your time. Until you value your time, you won''t do anything with it.",M. Scott Peck
"The minute you settle for less than you deserve, you get even less than you settled for.",Maureen Dowd
"There is no retirement for an artist, it''s your way of living so there is no end to it.",Henry Moore
The highest stage in moral ure at which we can arrive is when we recognize that we ought to control our thoughts.,Charles Darwin
"If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace.",Dalai Lama
There is only one success � to be able to spend your life in your own way.,Christopher Morley
"Promises are the uniquely human way of ordering the future, making it predictable and reliable to the extent that this is humanly possible.",Hannah Arendt
"Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts.",Alan Cohen
Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.,Leonardo da Vinci
"There is only one corner of the universe you can be certain of improving, and that''s your own self.",Aldous Huxley
You're not obligated to win. You're obligated to keep trying to do the best you can every day.,Marian Edelman
"Everyone can taste success when the going is easy, but few know how to taste victory when times get tough.",Byron Pulsifer
"Deep listening is miraculous for both listener and speaker.When someone receives us with open-hearted, non-judging, intensely interested listening, our spirits expand.",Sue Patton Thoele
"You may be deceived if you trust too much, but you will live in torment if you don''t trust enough.",Frank Crane
"Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven.",Lao Tzu
"All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable.",Kathleen Norris
"Choose a job you love, and you will never have to work a day in your life.",Confucius
You cannot find yourself by going into the past. You can find yourself by coming into the present.,Eckhart Tolle
"All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise.",Anne Bronte
In order to live free and happily you must sacrifice boredom. It is not always an easy sacrifice.,Richard Bach
The fox has many tricks. The hedgehog has but one. But that is the best of all.,Desiderius Erasmus
Of course there is no formula for success except perhaps an unconditional acceptance of life and what it brings.,Arthur Rubinstein
Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity,Louis Pasteur
Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us: We taste only sacredness.,Rumi
"We must never forget that it is through our actions, words, and thoughts that we have a choice.",Sogyal Rinpoche
"We see things not as they are, but as we are. Our perception is shaped by our previous experiences.",Dennis Kimbro
"True silence is the rest of the mind; it is to the spirit what sleep is to the body, nourishment and refreshment.",William Penn
"There is no retirement for an artist, it''s your way of living so there is no end to it.",Henry Moore
"All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason.",Immanuel Kant
